filename,snr_pr,snr_noisy,lsd_pr,lsd_noisy,P808_MOS pr,SIG_raw pr,BAK_raw pr,OVRL pr,SIG pr,BAK pr,P808_MOS hr,SIG_raw hr,BAK_raw hr,OVRL hr,SIG hr,BAK hr,P808_MOS noisy,SIG_raw noisy,BAK_raw noisy,OVRL noisy,SIG noisy,BAK noisy
/VCTK-Corpus/wav48/p376/p376_150.wav,4.071013927459717,3.9032084747071414,3.629697,5.150421369199219,2.8748198,3.4528491,4.083574,2.8984982197014126,3.2176175628569084,3.9791477282441696,3.437089,3.681866,4.0100513,3.0224642863869473,3.360967992474572,3.9389525186178744,2.7912378,3.8892796,3.3387635,2.853303963182864,3.4827346585190546,3.507668921461
/VCTK-Corpus/wav48/p376/p376_247.wav,12.195384502410889,7.843672340660595,4.7725453,7.34877992009226,2.8632143,3.3660197,3.536591,2.7005018567014494,3.161458738456272,3.647122238533302,3.4568176,3.5488408,3.9198303,2.934825686023141,3.2788169990012195,3.887317331025973,2.5568137,4.0120583,2.448831,2.553244366291791,3.5514550137006973,2.7548495907517068
/VCTK-Corpus/wav48/p376/p376_181.wav,0.7350586354732513,0.6733112103251204,4.354298,5.278607511274634,3.6470165,3.6857746,3.9864159,3.0458655253601243,3.3637133291145394,3.9262929812222613,3.714939,3.7092793,3.9480915,3.0383702801127277,3.377617933180541,3.9036457452550963,3.6386147,3.6484587,3.8595667,2.9953354122415425,3.3414832497490625,3.8530199726427004
/VCTK-Corpus/wav48/p376/p376_008.wav,4.037817716598511,4.0488675823203195,2.9335022,2.7351836454640437,3.8952951,4.0651703,4.29208,3.3095119837891476,3.5804631153911215,4.08497947807151,4.0222206,4.18265,4.3037186,3.3888284630816656,3.6425214824883416,4.090535253120175,3.838475,4.1074395,4.158027,3.3046046517768093,3.6030586717835407,4.01841705758169
/VCTK-Corpus/wav48/p376/p376_074.wav,8.29566240310669,8.226284269221205,2.7467458,3.5517315707303534,3.470384,3.715442,4.019141,3.0676059361449677,3.3819306465661585,3.9439812938563428,3.5356593,3.9069448,4.21405,3.2032788346172825,3.49317883909558,4.046706329817826,3.3689167,4.131271,3.3793085,3.051000947491431,3.6154717839086827,3.53772121978405
/VCTK-Corpus/wav48/p376/p376_073.wav,17.872886657714844,3.673187941450683,4.815245,7.032413614233705,2.8323743,3.2930586,3.6055303,2.668435317717897,3.1149194809207716,3.6941366052778424,3.2802048,3.6178102,3.9265938,2.9469687807583855,3.322927650765389,3.8923640480336203,2.4663568,3.209334,2.5924714,2.275532304012043,3.0584207261456027,2.89070875897725
/VCTK-Corpus/wav48/p376/p376_157.wav,9.75768506526947,9.489609474726482,2.6289556,2.904596315944861,3.4917173,4.057349,3.9578018,3.226384106765782,3.5761126937725054,3.9090899622953286,3.4813807,4.111884,4.0453444,3.2715027150678417,3.605081895090717,3.95809381826136,3.438457,4.098588,3.9114912,3.2365524860164716,3.598325706174748,3.882921558921667
/VCTK-Corpus/wav48/p376/p376_291.wav,5.438549518585205,5.436864484838106,2.9460595,3.34969337307291,3.4659061,3.9330258,4.1232114,3.1830671788994676,3.5076755940464257,3.998660976600398,3.5858765,3.9135618,3.9766283,3.147804735071022,3.496929320063277,3.919274151568787,3.4107316,3.9111152,3.6651685,3.057448897400928,3.4953614315819497,3.7305748269850554
/VCTK-Corpus/wav48/p376/p376_240.wav,8.485392928123474,8.36596152838382,3.1726792,4.048787857115836,3.0013926,3.492824,4.1094656,2.9642074012260413,3.24453301559414,3.992883115234476,3.3584466,3.7160609,4.240246,3.1142370674306994,3.38216122030835,4.0594057885558765,2.9189696,3.8369539,3.7483425,3.057140363258562,3.4531960058770723,3.7853849607057986
/VCTK-Corpus/wav48/p376/p376_186.wav,-2.6176607608795166,-2.7374375188484286,3.3020008,4.276060281751749,3.270094,3.874736,4.0633707,3.1666456861614507,3.4746131146525343,3.9675533148997637,3.3019233,3.9597993,4.0300574,3.185338456799256,3.5225786647164425,3.9497912194256513,3.2395523,3.9772758,3.6903358,3.0879031450933083,3.5324236678926537,3.748158509879238
/VCTK-Corpus/wav48/p376/p376_125.wav,-8.285025954246521,-8.908723707182638,7.1982203,9.39030232305595,2.4731019,3.6992555,2.9174113,2.7207671958801205,3.371643482067229,3.177300391401407,2.8998055,3.9133637,4.0847898,3.14758528598069,3.4964044655299333,3.9795770827142056,2.4293413,1.0584291,1.0099499,1.1197611534555711,1.203318672232177,1.0948072601331973
/VCTK-Corpus/wav48/p376/p376_232.wav,7.668108344078064,0.3409613158117366,5.1367483,7.0975988268629235,2.894182,3.6547124,3.4991298,2.893966534833145,3.345443358515751,3.6224553921792477,3.4529765,3.7266848,3.7443671,3.007199006201759,3.3886989748551657,3.7831868985858907,2.940526,3.9960756,2.6563737,2.705085012973668,3.542881542908278,2.949374055004282
